model,precision,cpu,batch_ms_mean,batch_ms_std,sample_ms_mean,throughput_samples_s,num_threads,batch_size,seq_len
layoutlmv3_teacher,int8,AMD EPYC 9354 32-Core Processor,3156.054920507595,16.05170102047171,197.25343253172468,5.06962027055812,8,16,512
layoutlmv3_teacher,fp32,AMD EPYC 9354 32-Core Processor,4836.990610990673,78.17908896188709,302.3119131869171,3.30784185597644,8,16,512
layoutlmv3_student_4L,fp32,AMD EPYC 9354 32-Core Processor,1892.503401974216,11.538763059442608,118.2814626233885,8.454410165555933,8,16,512
layoutlmv3_student_4L,int8,AMD EPYC 9354 32-Core Processor,1339.004759175703,9.979424051981358,83.68779744848143,11.949173362049638,8,16,512
lilt_teacher,fp32,AMD EPYC 9354 32-Core Processor,3694.7086667772382,32.93395115777036,230.9192916735774,4.33051735414804,8,16,512
lilt_teacher,int8,AMD EPYC 9354 32-Core Processor,2222.630242202431,53.29332623418833,138.91439013765194,7.198678257947848,8,16,512
lilt_student_4L,int8,AMD EPYC 9354 32-Core Processor,724.136999245733,7.312320950404828,45.25856245285832,22.09526652645249,8,16,512
lilt_student_4L,fp32,AMD EPYC 9354 32-Core Processor,1213.2529434859753,14.391844532256505,75.82830896787345,13.187686941873842,8,16,512
